#,Question,Answer ,Answer 0,Answer 1,Answer 2
1,Can professor explain how lectures will work starting next week?,Answered by Professor,01/27/2022 15:41:20,01/27/2022 15:48:37,
2,Has the transcript function been enabled?,,01/27/2022 15:44:28,,
3,what’s the purpose of using the unity gain buffer? like i know you get the same signal out as you get in but then why do we need the op amp in the first place,Answered by professor..,01/27/2022 15:48:40,01/27/2022 15:51:53,
4,how does the R and C attached to the buffer filter out our signal the way we want it to? Hwo does this setup remove interference?,The RC filter removes any high-frequency interference by low-pass filtering,01/27/2022 15:49:22,01/27/2022 15:51:32,
5,Will the lectures be livestreamed starting next week?,Yes,01/27/2022 15:49:33,01/27/2022 15:50:00,
5,Will the lectures be livestreamed starting next week?,So that means we can also watch the lecture live but not in wheeler right?,01/27/2022 15:49:33,01/27/2022 15:50:49,
6,is the RC representing a transistor here?,"No, they are physical resistor and capacitor",01/27/2022 15:49:51,01/27/2022 15:50:34,
7,Can't a comparator achieve the same result as a low-pass filter?,"No. You need resistors, capacitors and/or inductors to design any sort of low-pass/high-pass filters",01/27/2022 15:52:17,01/27/2022 15:53:23,
8,"Connecting this to lab robot car we’re going to build, the thevenin model could represent a microphone we’d use to send signals, and the RC part is removing unnecessary noise from the microphone signals?",Correct!,01/27/2022 15:52:45,01/27/2022 15:54:52,
9,why is Vx equal to Vin ?,The output of the buffer follows its input,01/27/2022 15:53:36,01/27/2022 15:54:14,
10,where did he get the equation for Vout(t)?,You'll learn the derivation in HW and discussion,01/27/2022 15:57:53,01/27/2022 15:58:21,
11,What do you mean by homogenous and non-homogenous solutions?,It's the terminology. Homogenous solution corresponds to the homogenous part of the differential eqn and the non-homogeneous soln corresponds to the additional term of the RHS of the diff. eqn,01/27/2022 15:59:20,01/27/2022 16:00:58,
11,What do you mean by homogenous and non-homogenous solutions?,What is the significance of it?,01/27/2022 15:59:20,01/27/2022 16:02:11,
12,So the homogenous part is for when there’s no signal and non-homogenous accounts for when there is?,"Yes, you can think it in that way",01/27/2022 16:00:22,01/27/2022 16:01:40,
13,Why are we using teta?,It's simply the variable for the integration,01/27/2022 16:06:22,01/27/2022 16:06:40,
14,Does this lecture focus on note 3 or note 2?,Does this lecture focus on note 3 or note 2?,01/27/2022 16:06:24,01/27/2022 16:06:24,
15,This from before but why is it that Vx = Vsense since Iin = 0? Wouldn’t V- be nonzero and therefore affect Vx?,Vx = Vsense as the current is 0,01/27/2022 16:07:31,01/27/2022 16:08:42,
